number,symbol,covalent_radius,vdw_radius
1,H,0.310000,1.200000
2,He,0.280000,1.400000
3,Li,1.280000,1.820000
4,Be,0.960000,1.530000
5,B,0.840000,1.920000
6,C,0.760000,1.700000
7,N,0.710000,1.550000
8,O,0.660000,1.520000
9,F,0.570000,1.470000
10,Ne,0.580000,1.540000
11,Na,1.660000,2.270000
12,Mg,1.410000,1.730000
13,Al,1.210000,1.840000
14,Si,1.110000,2.100000
15,P,1.070000,1.800000
16,S,1.050000,1.800000
17,Cl,1.020000,1.750000
18,Ar,1.060000,1.880000
19,K,2.030000,2.750000
20,Ca,1.760000,2.310000
21,Sc,1.700000,NaN
22,Ti,1.600000,NaN
23,V,1.530000,NaN
24,Cr,1.390000,NaN
25,Mn,1.390000,NaN
26,Fe,1.320000,NaN
27,Co,1.260000,NaN
28,Ni,1.240000,1.630000
29,Cu,1.320000,1.400000
30,Zn,1.220000,1.390000
31,Ga,1.220000,1.870000
32,Ge,1.200000,2.110000
33,As,1.190000,1.850000
34,Se,1.200000,1.900000
35,Br,1.200000,1.850000
36,Kr,1.160000,2.020000
37,Rb,2.200000,3.030000
38,Sr,1.950000,2.490000
39,Y,1.900000,NaN
40,Zr,1.750000,NaN
41,Nb,1.640000,NaN
42,Mo,1.540000,NaN
43,Tc,1.470000,NaN
44,Ru,1.460000,NaN
45,Rh,1.420000,NaN
46,Pd,1.390000,1.630000
47,Ag,1.450000,1.720000
48,Cd,1.440000,1.580000
49,In,1.420000,1.930000
50,Sn,1.390000,2.170000
51,Sb,1.390000,2.060000
52,Te,1.380000,2.060000
53,I,1.390000,1.980000
54,Xe,1.400000,2.160000
55,Cs,2.440000,3.430000
56,Ba,2.150000,2.490000
57,La,2.070000,NaN
58,Ce,2.040000,NaN
59,Pr,2.030000,NaN
60,Nd,2.010000,NaN
61,Pm,1.990000,NaN
62,Sm,1.980000,NaN
63,Eu,1.980000,NaN
64,Gd,1.960000,NaN
65,Tb,1.940000,NaN
66,Dy,1.920000,NaN
67,Ho,1.920000,NaN
68,Er,1.890000,NaN
69,Tm,1.900000,NaN
70,Yb,1.870000,NaN
71,Lu,1.870000,NaN
72,Hf,1.750000,NaN
73,Ta,1.700000,NaN
74,W,1.620000,NaN
75,Re,1.510000,NaN
76,Os,1.440000,NaN
77,Ir,1.410000,NaN
78,Pt,1.360000,1.750000
79,Au,1.360000,1.660000
80,Hg,1.320000,1.550000
81,Tl,1.450000,1.960000
82,Pb,1.460000,2.020000
83,Bi,1.480000,2.070000
84,Po,1.400000,1.970000
85,At,1.500000,2.020000
86,Rn,1.500000,2.200000
87,Fr,2.600000,3.480000
88,Ra,2.210000,2.830000
89,Ac,2.150000,NaN
90,Th,2.060000,NaN
91,Pa,2.000000,NaN
92,U,1.960000,1.860000
93,Np,1.900000,NaN
94,Pu,1.870000,NaN
95,Am,1.800000,NaN
96,Cm,1.690000,NaN
97,Bk,2.000000,NaN
98,Cf,2.000000,NaN
99,Es,2.000000,NaN
100,Fm,2.000000,NaN
101,Md,2.000000,NaN
102,No,2.000000,NaN
103,Lr,2.000000,NaN
104,Rf,2.000000,NaN
105,Db,2.000000,NaN
106,Sg,2.000000,NaN
107,Bh,2.000000,NaN
108,Hs,2.000000,NaN
109,Mt,2.000000,NaN
110,Ds,2.000000,NaN
